l_shoulder,r_shoulder,l_elbow,r_elbow,l_wrist,r_wrist,l_hip,r_hip
"[1116.85498046875, 617.8228759765625]","[920.8275146484375, 585.5802612304688]","[1152.7410888671875, 768.1766357421875]","[783.3607177734375, 611.1082763671875]","[1158.694091796875, 909.2067260742188]","[636.8883666992188, 610.94189453125]","[1072.5478515625, 922.16162109375]","[952.19775390625, 911.294189453125]"
"[1117.074951171875, 618.149169921875]","[919.7151489257812, 587.1183471679688]","[1152.4884033203125, 767.67919921875]","[780.230712890625, 614.3242797851562]","[1159.6949462890625, 908.62060546875]","[633.7117309570312, 618.5036010742188]","[1072.733642578125, 922.75634765625]","[951.725341796875, 912.3511962890625]"
"[1116.444580078125, 618.0118408203125]","[919.5316772460938, 588.669677734375]","[1152.81689453125, 767.729736328125]","[780.465576171875, 622.4932861328125]","[1159.3028564453125, 908.509033203125]","[634.6861572265625, 628.958984375]","[1073.0631103515625, 922.9246215820312]","[952.34912109375, 913.0455322265625]"
"[1115.884033203125, 617.84521484375]","[920.593994140625, 589.6669311523438]","[1153.2191162109375, 765.6820068359375]","[784.3046264648438, 625.9044799804688]","[1159.097412109375, 907.6129760742188]","[637.009765625, 641.2259521484375]","[1073.22216796875, 921.825439453125]","[953.5277099609375, 912.24951171875]"
"[1115.8720703125, 617.352783203125]","[919.666259765625, 591.0929565429688]","[1153.16357421875, 766.01416015625]","[782.9364624023438, 633.1177368164062]","[1159.2811279296875, 907.9803466796875]","[637.1366577148438, 651.99560546875]","[1073.517578125, 922.0115966796875]","[953.6265869140625, 913.0369262695312]"
"[1115.7801513671875, 617.2652587890625]","[919.3984375, 592.5650634765625]","[1152.89013671875, 765.8223876953125]","[785.1845703125, 640.14794921875]","[1159.577880859375, 908.04833984375]","[638.0146484375, 663.6094970703125]","[1073.707275390625, 923.5369262695312]","[953.552001953125, 914.8157958984375]"
"[1115.2794189453125, 617.4797973632812]","[918.954833984375, 593.0366821289062]","[1153.4219970703125, 766.6473999023438]","[786.4290161132812, 643.7569580078125]","[1159.82177734375, 908.3665771484375]","[640.0571899414062, 672.1505126953125]","[1073.9453125, 922.80224609375]","[953.8295288085938, 913.932373046875]"
"[1114.25830078125, 617.630126953125]","[918.2088623046875, 594.3702392578125]","[1153.31787109375, 766.0767822265625]","[787.613525390625, 649.47314453125]","[1159.88427734375, 908.9403076171875]","[643.203369140625, 684.5783081054688]","[1073.1397705078125, 921.5458984375]","[953.3494873046875, 913.0797119140625]"
"[1114.2454833984375, 617.8599243164062]","[917.7418212890625, 595.6671142578125]","[1152.9554443359375, 766.3006591796875]","[788.7804565429688, 656.111328125]","[1159.9248046875, 908.7075805664062]","[645.629638671875, 700.0160522460938]","[1072.150390625, 920.5262451171875]","[952.0164184570312, 912.2850341796875]"
"[1115.83642578125, 620.6566162109375]","[916.1673583984375, 599.2252197265625]","[1154.3621826171875, 763.9737548828125]","[796.7114868164062, 665.5652465820312]","[1161.2666015625, 909.77294921875]","[651.6495361328125, 711.99658203125]","[1076.3798828125, 919.237548828125]","[952.5511474609375, 913.56103515625]"
"[1116.0828857421875, 621.0460815429688]","[914.3387451171875, 600.6978149414062]","[1154.695068359375, 765.3331298828125]","[798.3839111328125, 672.1907348632812]","[1161.1171875, 909.8125]","[658.249267578125, 720.8641967773438]","[1076.2926025390625, 918.9002685546875]","[950.861083984375, 913.91748046875]"
"[1116.414306640625, 620.8749389648438]","[913.949462890625, 602.04638671875]","[1155.369384765625, 765.666015625]","[798.9593505859375, 677.935302734375]","[1161.47802734375, 909.174072265625]","[662.5347900390625, 732.8250732421875]","[1076.5440673828125, 919.3485717773438]","[950.734130859375, 915.0]"
"[1116.8267822265625, 617.3804931640625]","[913.3468017578125, 600.9389038085938]","[1156.886474609375, 760.881591796875]","[793.090087890625, 685.8937377929688]","[1163.4639892578125, 906.7553100585938]","[667.6287231445312, 745.878662109375]","[1074.153076171875, 918.9790649414062]","[947.77880859375, 912.1993408203125]"
"[1115.7420654296875, 616.575439453125]","[917.6605224609375, 605.2725219726562]","[1149.2744140625, 767.47705078125]","[802.2364501953125, 693.1862182617188]","[1154.6572265625, 913.5646362304688]","[680.3635864257812, 759.8671875]","[1076.528564453125, 919.8491821289062]","[952.5108032226562, 915.9658813476562]"
"[1119.5712890625, 617.8064575195312]","[915.4462890625, 607.7649536132812]","[1150.2955322265625, 766.0992431640625]","[805.6067504882812, 697.92529296875]","[1155.306640625, 909.15673828125]","[688.48779296875, 767.026123046875]","[1078.3134765625, 921.451171875]","[950.4852905273438, 918.4641723632812]"
"[1119.1614990234375, 617.7420043945312]","[915.1455078125, 608.689208984375]","[1149.3192138671875, 766.6386108398438]","[809.117919921875, 703.9492797851562]","[1154.4271240234375, 908.79052734375]","[692.0673828125, 777.1265869140625]","[1078.0262451171875, 921.4279174804688]","[949.8898315429688, 918.7137451171875]"
"[1119.1163330078125, 618.4300537109375]","[914.4906005859375, 610.018310546875]","[1148.8817138671875, 769.002685546875]","[811.7360229492188, 711.2484741210938]","[1153.987548828125, 909.7373657226562]","[695.03955078125, 787.6182861328125]","[1077.820556640625, 924.5565185546875]","[949.119384765625, 921.88037109375]"
