l_shoulder,r_shoulder,l_elbow,r_elbow,l_wrist,r_wrist,l_hip,r_hip
"[1060.452880859375, 311.4465637207031]","[870.734130859375, 256.86431884765625]","[1088.001953125, 460.8143005371094]","[778.1215209960938, 224.6600341796875]","[1081.1005859375, 606.6185302734375]","[674.2420654296875, 181.59417724609375]","[1001.2119140625, 580.9376220703125]","[887.0392456054688, 562.010498046875]"
"[1060.6884765625, 311.646728515625]","[870.9569091796875, 257.0422668457031]","[1088.2152099609375, 460.8111877441406]","[779.90869140625, 222.2138214111328]","[1081.0029296875, 606.618408203125]","[677.131103515625, 177.40589904785156]","[1001.17041015625, 581.000244140625]","[886.904296875, 562.1146850585938]"
"[1060.569580078125, 311.7860107421875]","[871.8985595703125, 256.6719665527344]","[1088.4569091796875, 460.69879150390625]","[784.9652709960938, 221.49539184570312]","[1080.8824462890625, 606.896728515625]","[684.3934326171875, 175.6553192138672]","[1001.2479858398438, 580.7701416015625]","[887.3074951171875, 561.5755004882812]"
"[1060.5701904296875, 311.7942810058594]","[872.4119873046875, 255.80380249023438]","[1088.404052734375, 461.3135986328125]","[786.449951171875, 219.37054443359375]","[1079.359375, 607.1326904296875]","[689.052490234375, 172.68177795410156]","[1001.1458129882812, 581.2635498046875]","[887.58447265625, 561.6605834960938]"
"[1060.65966796875, 311.99713134765625]","[872.8106689453125, 255.02658081054688]","[1088.606201171875, 462.11517333984375]","[785.8529663085938, 215.40701293945312]","[1078.5223388671875, 608.6639404296875]","[690.975341796875, 168.88314819335938]","[1000.7958984375, 580.75244140625]","[887.5040283203125, 560.82763671875]"
"[1060.2415771484375, 312.8079833984375]","[873.9384765625, 254.91958618164062]","[1089.128662109375, 462.547607421875]","[792.1089477539062, 213.19406127929688]","[1077.91943359375, 609.2294311523438]","[701.9595947265625, 163.08897399902344]","[1000.5360107421875, 581.3643798828125]","[887.8987426757812, 561.165771484375]"
"[1059.8544921875, 313.2004699707031]","[874.1075439453125, 254.26467895507812]","[1089.55859375, 462.8795471191406]","[793.736328125, 208.68099975585938]","[1077.9130859375, 608.9420166015625]","[703.97998046875, 158.1034698486328]","[1000.6846923828125, 581.937255859375]","[888.25, 561.4212036132812]"
"[1059.561279296875, 312.5833435058594]","[874.8553466796875, 253.46966552734375]","[1089.8792724609375, 462.038818359375]","[796.5379638671875, 206.22177124023438]","[1078.264404296875, 608.033935546875]","[709.1744995117188, 155.395751953125]","[1000.1892700195312, 581.6905517578125]","[888.3517456054688, 561.1077880859375]"
"[1055.037841796875, 312.2293701171875]","[873.3980712890625, 251.7696533203125]","[1089.38427734375, 460.17266845703125]","[796.248779296875, 209.18011474609375]","[1074.766357421875, 610.1998291015625]","[708.3777465820312, 150.3980255126953]","[996.1729736328125, 582.131103515625]","[884.7730712890625, 558.9307250976562]"
"[1055.2159423828125, 311.8583679199219]","[873.52880859375, 250.87742614746094]","[1089.947998046875, 460.0783996582031]","[797.8877563476562, 206.77200317382812]","[1074.53076171875, 609.7286987304688]","[711.1311645507812, 146.3528594970703]","[995.9390258789062, 582.1244506835938]","[884.3438720703125, 558.6151733398438]"
"[1054.9405517578125, 311.3641052246094]","[873.0849609375, 249.99412536621094]","[1089.9996337890625, 459.82867431640625]","[799.6376953125, 205.3109893798828]","[1074.226318359375, 608.9404296875]","[717.8934326171875, 143.40658569335938]","[995.7987060546875, 581.649658203125]","[883.84228515625, 558.0221557617188]"
"[1054.592529296875, 310.8492736816406]","[872.8595581054688, 249.89474487304688]","[1090.3372802734375, 458.5350341796875]","[800.3690185546875, 203.72186279296875]","[1074.06494140625, 608.3045043945312]","[719.5662841796875, 138.31527709960938]","[995.6427001953125, 580.90380859375]","[883.7054443359375, 557.3602294921875]"
"[1054.332275390625, 310.3759765625]","[872.233154296875, 248.20120239257812]","[1090.5875244140625, 458.619384765625]","[800.5545043945312, 199.98724365234375]","[1074.4127197265625, 608.2849731445312]","[722.015380859375, 134.63539123535156]","[995.4476318359375, 580.4417724609375]","[883.2401123046875, 556.6331787109375]"
"[1053.771484375, 309.7938232421875]","[871.69482421875, 246.78602600097656]","[1091.26806640625, 457.8769226074219]","[800.3931884765625, 195.67349243164062]","[1074.6591796875, 607.9951171875]","[724.6792602539062, 130.18814086914062]","[995.497802734375, 580.5120849609375]","[883.28955078125, 556.5057373046875]"
